,index,Total meat exports,Total cocoa exports,Total wood exports,Total rubber exports,Total soy exports,Total coffee exports
0,2019,199438562,5635266,1151355145,4954653,4793449815,1091171918
1,2018,205809882,5543345,1174466870,5829069,4699354179,923441394
2,2017,197854084,5964441,784271090,6388212,4547702137,847401443
3,2016,183318322,7186578,824369325,7935520,4886706752,960803545
4,2015,175599352,10779873,732916151,8699028,5249220189,994700074
5,2014,168533544,3877478,728468187,5727633,5840593175,1054021330
6,2013,204815215,3109887,602499639,4452225,4712690216,889470974
7,2012,165576376,2994511,538658425,4837059,4905661963,794868454
8,2011,149699428,3643491,688354410,4578884,5039373137,937782386
9,2010,157676948,3913651,839229700,4689969,5382201142,983263147
10,2009,141856730,2218184,793340524,4980490,8209372991,924066608
11,2008,131244546,3440790,1289000503,6955120,8905837209,960839166
12,2007,298904355,6173484,1703561533,7192848,9566550823,885268307
13,2006,402184897,4728620,1485337691,7352678,10235240836,882079832
14,2005,347223886,11796841,1510529990,8380710,10578098268,805341857
15,2004,312413956,9826924,1780517857,9113259,8751523893,874067822
16,2003,258056005,15564044,1415253260,7506233,10166864273,786748692
17,2002,246043065,14770823,1426011297,8170175,8654409986,934676077
18,2001,243543700,6393605,1420423367,8032574,9354369754,772905766
